FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,ECOICOP_2,ECOICOP 2,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2003,3119,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2004,3116,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2005,3187,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2006,3180,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2007,3197,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2008,3187,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2009,2854,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2010,3170,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2011,3105,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2012,3167,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2013,3130,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2014,3222,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2015,6778,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2016,6909,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2017,7572,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2018,7630,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2019,7784,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2020,8395,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2021,6175,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2022,5600,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2023,4974,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2024,3573,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2025,4304,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2026,4673,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0980,"Viaggi ""tutto compreso""",1996,2343,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0980,"Viaggi ""tutto compreso""",1997,2343,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0980,"Viaggi ""tutto compreso""",1998,2343,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0980,"Viaggi ""tutto compreso""",1999,2628,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0980,"Viaggi ""tutto compreso""",2000,2841,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0980,"Viaggi ""tutto compreso""",2001,3064,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0980,"Viaggi ""tutto compreso""",2002,3312,,
